#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
     5.56257              0           0           0


   0.0942809     0.00252889  0.00431793  0.00144107
    0.282843      0.0561512    0.030715  0.00315508
    0.471405       0.144417   0.0886699   0.0101432
    0.659966       0.224138    0.180451   0.0146194
    0.848528       0.317412    0.284663   0.0188974
     1.03709       0.398484    0.343266   0.0191292
     1.22565       0.465684    0.453079   0.0220344
     1.41421       0.593184    0.522164    0.021033
     1.60278       0.487683    0.516666   0.0221112
     1.79134       0.416898    0.484486   0.0147245
      1.9799       0.423405    0.464861   0.0208789
     2.16846       0.459546    0.380646   0.0187027
     2.35702       0.270444    0.290956   0.0141093
     2.54558       0.195584    0.294572   0.0314676
     2.73415       0.154753    0.248484   0.0198131
     2.92271       0.104863    0.193849   0.0147194
     3.11127       0.257677    0.166258   0.0142676
     3.29983       0.124701    0.118784   0.0106545
     3.48839      0.0482944    0.078389  0.00880753
     3.67696       0.112818   0.0689789  0.00715416
     3.86552      0.0100419   0.0384735  0.00485572
     4.05408     0.00390382   0.0255213  0.00491708
     4.24264    0.000589256  0.00835761  0.00246107
      4.4312     0.00680099  0.00571578  0.00250798
     4.61976      0.0142894  0.00244868  0.00132638
     4.80833     0.00778309  0.00277278   0.0011145
     4.99689     0.00122762  0.00356827   0.0017111
     5.18545              0  0.00188725 0.000999222
     5.37401              0 0.000299538 0.000198969
     5.56257              0           0           0


   0.0942809     0.00073657   0.0040941  0.00136827
    0.282843      0.0518299   0.0320346  0.00322209
    0.471405       0.100247   0.0893935  0.00953502
    0.659966        0.28655    0.187083   0.0151351
    0.848528       0.268455     0.28365   0.0177434
     1.03709       0.252324    0.337582   0.0187591
     1.22565       0.577127    0.460832   0.0219789
     1.41421       0.513291    0.521609   0.0197257
     1.60278       0.539439    0.518089    0.020775
     1.79134       0.475063    0.483897    0.013816
      1.9799       0.417684    0.461912   0.0197811
     2.16846       0.411153    0.382553   0.0176307
     2.35702        0.26492    0.289329    0.013321
     2.54558       0.322274    0.296304   0.0295485
     2.73415       0.211101    0.246148    0.018712
     2.92271       0.116476    0.189013   0.0145721
     3.11127       0.208228    0.168882   0.0136149
     3.29983         0.1193    0.118816  0.00998861
     3.48839      0.0577225   0.0770974  0.00835124
     3.67696      0.0439978   0.0674176  0.00687529
     3.86552      0.0104838   0.0367241  0.00485715
     4.05408     0.00579435   0.0242884  0.00476183
     4.24264              0  0.00783526  0.00236204
      4.4312              0  0.00535854  0.00237653
     4.61976      0.0491046  0.00536468   0.0030851
     4.80833              0  0.00259948  0.00105823
     4.99689              0  0.00334525  0.00161862
     5.18545              0   0.0017693 0.000943707
     5.37401              0 0.000280817 0.000187412
     5.56257              0           0           0


   0.0942809     0.00331456  0.00404824  0.00128855
    0.282843      0.0238894   0.0315555  0.00306797
    0.471405      0.0894686   0.0893979  0.00897414
    0.659966       0.180435    0.186691   0.0142498
    0.848528       0.274544    0.283114   0.0167078
     1.03709       0.455249    0.344504   0.0188894
     1.22565       0.511277    0.463799   0.0208854
     1.41421       0.440272    0.516825   0.0191369
     1.60278       0.436319    0.513279   0.0201021
     1.79134       0.524855    0.486306   0.0132117
      1.9799       0.478377    0.462881   0.0186412
     2.16846       0.330081    0.379466   0.0168616
     2.35702       0.339829      0.2923   0.0128643
     2.54558       0.315816    0.297451   0.0278326
     2.73415        0.17852     0.24217   0.0180292
     2.92271       0.256621     0.19299   0.0142473
     3.11127       0.225685    0.172223   0.0132177
     3.29983       0.152936    0.120823  0.00960057
     3.48839      0.0278178   0.0741986  0.00834794
     3.67696      0.0267375   0.0650246  0.00687469
     3.86552     0.00471405   0.0348412   0.0049229
     4.05408     0.00434576   0.0231153  0.00462396
     4.24264     0.00272531  0.00753467  0.00224214
      4.4312     0.00127672  0.00511844  0.00224883
     4.61976     0.00878973  0.00556616   0.0029102
     4.80833     0.00522964  0.00275419  0.00100723
     4.99689     0.00417389    0.003394  0.00152414
     5.18545              0  0.00166522 0.000893916
     5.37401              0 0.000264298 0.000177114
     5.56257              0           0           0


   0.0942809    0.000589256  0.00385608  0.00123121
    0.282843     0.00883883   0.0302935  0.00314641
    0.471405      0.0826922   0.0890253   0.0084833
    0.659966       0.248715    0.190137   0.0138685
    0.848528        0.24049    0.280746   0.0159465
     1.03709       0.374423    0.346166    0.017913
     1.22565        0.46124    0.463657   0.0197256
     1.41421        0.51113    0.516508   0.0180763
     1.60278       0.495564    0.512295   0.0190094
     1.79134       0.573567    0.491154   0.0133375
      1.9799       0.520828      0.4661   0.0178814
     2.16846       0.374226    0.379175   0.0159274
     2.35702       0.329787    0.294382   0.0123171
     2.54558       0.270959     0.29598   0.0263252
     2.73415       0.149916    0.237044   0.0177411
     2.92271       0.217018    0.194325   0.0135182
     3.11127       0.111517     0.16885   0.0129065
     3.29983       0.100149    0.119675  0.00913565
     3.48839      0.0838216   0.0747332  0.00790127
     3.67696      0.0469195   0.0640188  0.00656594
     3.86552      0.0764068   0.0371504  0.00516266
     4.05408       0.018537   0.0228609  0.00437407
     4.24264     0.00596621  0.00744754  0.00211927
