#     GEN:            L2:          <L2>:
       539        56.2795        57.8032
       540        56.2795        58.1042
       541        56.2795        56.5077
       542        56.2795        56.2822
       543        56.2795        57.2319
       544        56.2795        56.4245
       545        56.2795        56.5639
       546        56.2795        57.0127
       547        56.2795        56.9449
       548        56.2795        57.2742
       549        56.2795        57.5784
       550        56.2795        56.9106
       551        56.2795        56.6294
       552        56.2795        56.8178
       553        56.2795        56.5758
       554        56.2795        56.8621
       555        56.2795        57.2702
       556        56.2795        57.4447
       557        56.2795        56.4117
       558        56.2795        57.9851
       559        56.2795        56.9949
       560        56.2795        57.2266
       561        56.2795        57.0381
       562        56.2795        57.8134
       563        56.2795        57.7531
       564        56.2795         56.693
       565        56.2795        56.4373
       566        56.2795        56.4411
       567        56.2795        57.5865
       568        56.2795        57.2531
       569        56.2795        56.6498
       570        56.2795        56.7948
       571        56.2795        57.1982
       572        56.2795        56.6875
       573        56.2795        56.4702
       574        56.2795        56.8076
       575        56.2795        57.8372
       576        56.2795        56.8878
       577        56.2795        57.0417
       578        56.2795         57.526
       579        56.2795        56.9886
       580        56.2795        56.7683
       581        56.2795        56.6052
       582        56.2795        57.1025
       583        56.2795        57.1405
       584        56.2795        57.7866
       585        56.2795        56.5091
       586        56.2795        56.4131
       587        56.2795        56.4893
       588        56.2795        56.4272
       589        56.2795        56.6818
       590        56.2795        56.4417
       591        56.2795        56.3715
       592        56.2795        56.5219
       593        56.2795        56.8225
       594        56.2795        56.6109
       595        56.2795        57.1906
       596        56.2795        57.0436
       597        56.2795        56.8009
       598        56.2795        56.8273
       599        56.2795         57.441
       600        56.2795        56.6569
       601        56.2795        56.8889
       602        56.2795        57.2491
       603        56.2795        57.6641
       604        56.2795        57.7128
       605        56.2795        58.1553
       606        56.2795        56.3546
       607        56.2795        56.7988
       608        56.2795        56.5731
       609        56.2795        56.9557
       610         56.245        56.4683
       611         56.245           57.1
       612         56.245        56.9312
       613         56.245        56.6109
       614         56.245        56.9099
       615         56.245        57.1389
       616         56.245        56.5959
       617         56.245        56.4509
       618         56.245        56.7259
       619         56.245        56.3592
       620         56.245        56.7406
       621         56.245        56.3201
       622         56.245        56.2583
       623         56.245         56.292
       624         56.245        56.5602
       625         56.245        57.1847
       626        56.1233        57.6262
       627        56.1233        57.0644
       628        56.1233        57.0027
       629        56.1233        57.0687
       630        56.1233        57.1732
       631        56.1233        57.2306
       632        56.1233         56.505
       633        56.1233        56.9673
       634        56.1233        56.6711
       635        56.1233        56.7584
       636        56.1233        56.6387
       637        56.1233        57.4983
       638        56.1233        56.8952
       639        56.1233        56.6938
       640        56.1233        56.3371
       641        56.1233        56.3597
       642        56.1233        56.5487
       643        56.1233        56.2958
       644        56.1233        56.2179
       645        56.1233         56.448
       646        55.6626        56.4027
       647        55.6626        56.5314
       648        55.6626        56.3622
       649        55.6626        55.9595
       650        55.6626        56.2948
       651        55.6626        55.9083
       652        55.6626        57.2034
       653        55.6626        56.6426
       654        55.6626        55.8364
       655        55.6626        56.1486
       656        55.6626        56.1242
       657        55.6626         55.885
       658        55.6626          55.67
       659        55.6626        55.6829
       660        55.6626        55.7079
       661        55.6626        55.6704
       662        55.6626        55.9409
       663        55.6626        56.2354
       664        55.6626        56.3808
       665        55.6626        56.5004
       666        55.6626        56.5964
       667        55.6626        55.7054
       668        55.6626        55.9022
       669        55.6626        55.6626
       670        55.6626        55.6812
       671        55.6626        55.8449
       672        55.6626        55.9512
       673        55.6626        56.1346
       674        55.6626        56.5526
       675        55.6626        57.1404
       676        55.6626        56.6021
       677        55.6626        55.8608
       678        55.6626        56.5134
       679        55.6626         56.261
       680        55.6626        55.9113
       681        55.6626        55.9728
       682        55.6626        56.6616
       683        55.6626        56.4626
       684        55.6626        57.0574
       685        55.6626        56.3602
       686        55.6626        56.4298
       687        55.6626        56.4446
       688        55.6626        57.0188
       689        55.6626        55.9407
       690        55.6626        55.8558
       691        55.6626        56.6093
       692        55.6626        56.2818
       693        55.6626        56.2244
       694        55.6626        56.0564
       695        55.6626        56.5482
       696        55.6626        56.0517
       697        55.6626        55.6669
       698        55.6626        55.9125
       699        55.6626        55.7879
       700        55.6626        55.8671
       701        55.6626        55.7865
       702        55.6626        56.4261
       703        55.6626        55.9957
       704        55.6626        56.4579
       705        55.6626        56.5626
       706        55.5601        56.4024
       707        55.5601        55.8789
       708        55.5601        56.0134
       709        55.5601        55.9803
       710        55.5601        55.7875
       711        55.5601        56.0628
       712        55.5601        55.7873
       713        55.5601        55.6793
       714        55.5601        56.1322
       715        55.5601        56.4768
       716        55.5601         56.041
       717        55.5601        55.5745
       718        55.5601        55.6759
       719        55.5601        56.8005
       720        55.5601        57.1957
       721        55.5601        57.5839
       722        55.5601        57.3194
       723        55.5601        56.7676
       724        55.5601        55.7618
       725        55.5601        55.8857
       726        55.2377        55.9114
       727        55.2377         55.888
       728        55.2377        55.4772
       729        55.2377        55.3728
       730        55.2377        55.7603
       731        55.2377         56.643
       732        55.2377        56.2321
       733        55.2377        55.8815
       734        55.2377        55.4816
       735        55.2377        55.4981
       736        55.2377        55.6294
       737        55.2377        55.4939
       738        55.2377        56.0361
       739        55.2377        55.6573
       740        55.2377        55.8782
       741        55.2377        55.7542
       742        55.2377         55.973
       743        55.2377        56.3135
       744        55.2377        55.8733
       745        55.2377        56.4729
       746        55.2203        55.5691
       747        55.2203        55.8353
       748        55.2203        55.8027
       749        55.2203         55.295
       750        55.2203        55.2231
       751        55.2203        55.2294
       752        55.2203        55.2458
       753        55.2203        55.2655
       754        55.2203        55.4662
       755        55.2203         55.436
       756        55.2203        55.3849
       757        55.2203        55.2756
       758        55.2203        55.3108
       759        55.2203        55.2466
       760        55.2203        55.2203
       761        55.2203        55.3793
       762        55.2203        55.3977
       763        55.2203        55.5527
       764        55.2203        56.4883
       765        55.2203        57.0006
       766        55.1929        56.7066
       767        55.1929        55.7687
       768        55.1929        55.4942
       769        55.1929        55.9377
       770        55.1929        55.4791
       771        55.1929        55.3924
       772        55.1929        55.5305
       773        55.1929        55.4974
       774        55.1929        55.4902
       775        55.1929        55.8883
       776        55.1929        55.3195
       777        55.1929        55.1963
       778        55.1929        55.4971
       779        55.1929        55.3823
       780        55.1929        56.5939
       781        55.1929        56.5697
       782        55.1929        57.0849
       783        55.1929        58.0487
       784        55.1929        57.0876
       785        55.1929         55.906
       786        55.1929        55.8875
       787        55.1929        56.2865
       788        55.1929        56.0534
       789        55.1929        56.8108
       790        55.1929        55.8214
       791        55.1929        56.5648
       792        55.1929        55.9414
       793        55.1929        55.5507
       794        55.1929         57.093
       795        55.1929        56.2014
       796        55.1929        55.8355
       797        55.1929        55.3842
       798        55.1929        55.2233
       799        55.1929        55.3575
       800        55.1929        55.4354
       801        55.1929          55.73
       802        55.1929        56.3073
       803        55.1929        55.5106
       804        55.1929        55.2062
       805        55.1929        55.1929
       806        55.1929        55.5264
       807        55.1929         56.134
       808        55.1929        56.2411
       809        55.1929        55.4166
       810        55.1929        55.5599
       811        55.1929        55.3277
       812        55.1929        55.1929
       813        55.1929        55.3989
       814        55.1929          55.22
       815        55.1929        55.8701
       816        55.1929        55.2904
       817        55.1929        55.1929
       818        55.1929        55.2242
       819        55.1929        55.1929
       820        55.1929          55.39
       821        55.1929        55.1929
       822        55.1929        55.3211
       823        55.1929        55.3039
       824        55.1929        55.5658
       825        55.1929        57.5126
       826        55.1929        56.7731
       827        55.1929        55.7548
       828        55.1929        55.4192
       829        55.1929         55.383
       830        55.1929        55.3468
       831        55.1929        55.3517
       832        55.1929        55.2122
       833        55.1929         55.327
       834        55.1929        55.2839
       835        55.1929        55.8824
       836        55.1929        55.7683
       837        55.1929         56.168
       838        55.1929        55.9061
       839        55.1929        56.3991
       840        55.1929        56.0101
       841        55.1929        55.3736
       842        55.1929        55.4466
       843        55.1929         55.577
       844        55.1929        55.9495
       845        55.1929        55.9642
       846        55.1929        55.7529
       847        55.1929        55.8466
       848        55.1929        55.6667
       849        55.1929        55.2217
       850        55.1929        55.8706
       851        55.1929        55.6527
       852        55.1929        55.4756
       853        55.1929        57.1062
       854        55.1929        58.1067
       855        55.1929        57.2302
       856        55.1929        56.2495
       857        55.1929        56.8312
       858        55.1929        56.7866
       859        55.1929        56.1639
       860        55.1929         56.556
       861        55.1929        55.3715
       862        55.1929        55.2103
       863        55.1929        55.2038
       864        55.1929        55.9182
       865        55.1929        55.2885
       866        55.1929        55.2027
       867        55.1929        55.2378
       868        55.1929        55.2295
       869        55.1929        55.2498
       870        55.1929        55.8405
       871        55.1929        55.4302
       872        55.1929        55.5158
       873        55.1929        56.1497
       874        55.1929        55.7822
       875        55.1929        55.8901
       876        55.1929        56.0426
       877        55.1929        55.9191
       878        55.1929        55.2094
       879        55.1929        55.2086
       880        55.1929        55.9564
       881        55.1929        56.5727
       882        55.1929        55.7735
       883        55.1929        55.6238
       884        55.1929        55.3463
       885        55.1929         55.578
       886        55.1929         55.524
       887        55.1929        56.1206
       888        55.1929        55.6952
       889        55.1929        55.5201
       890        55.1929        55.2682
       891        55.1929         55.408
       892        55.1929        55.4225
       893        55.1929        55.5477
       894        55.1929         55.321
       895        55.1929         55.284
       896        55.1929        56.2779
       897        55.1929        55.7986
       898        55.1929        55.5648
       899        55.1929        55.1929
       900        55.1929        55.2456
       901        55.1929        55.4073
       902        55.1929        55.8173
       903        55.1929        56.9134
       904        55.1929        55.9549
       905        55.1929        56.0561
       906        55.1929        55.6385
       907        55.1929        55.6782
       908        55.1929        55.2511
       909        55.1929        55.2263
       910        55.1929        55.7609
       911        55.1929        56.1842
       912        55.1929        55.5938
       913        55.1929        55.7591
       914        55.1929        55.3483
       915        55.1929        55.2221
       916        55.1929        55.2652
       917        55.1929        55.3119
       918        55.1929        55.3657
       919        55.1929        55.2732
       920        55.1929        55.6291
       921        55.1929        55.6059
       922        55.1929         55.944
       923        55.1929        56.4843
       924        55.1929        56.6724
       925        55.1929        55.6213
       926        55.1929        56.0424
       927        55.1929        55.9293
       928        55.1929        55.2758
       929        55.1929        55.2382
       930        55.1929        55.3211
       931        55.1929        56.2812
       932        55.1929        55.4023
       933        55.1929        55.3926
       934        55.1929        55.4811
       935        55.1929        55.4656
       936        55.1929        55.6095
       937        55.1929        55.1963
       938        55.1929        55.1938
