#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0  3.6473e-05 3.15866e-05
    0.884913     0.00100876  0.00157045 0.000163224
    0.910562       0.026893   0.0256912 0.000590093
    0.936212       0.166648    0.168748  0.00300454
    0.961861       0.566627    0.574011  0.00475745
    0.987511        1.20899     1.20879  0.00407705
     1.01316        1.87974     1.87691  0.00336597
     1.03881        2.33069     2.33846  0.00367034
     1.06446        2.56317     2.56026  0.00646537
     1.09011        2.54034     2.53202    0.010164
     1.11576        2.40455     2.40804  0.00619749
     1.14141        2.17519     2.18658  0.00335189
     1.16706        1.97574     1.97039  0.00206425
     1.19271        1.74838     1.75892  0.00678132
     1.21836         1.5603     1.55288  0.00437252
     1.24401        1.38335      1.3889  0.00434429
     1.26966        1.23383     1.23599  0.00385898
     1.29531        1.12752     1.12131   0.0060564
     1.32096        1.03195     1.02175  0.00696034
     1.34661       0.946142    0.940473  0.00590661
     1.37226       0.863604    0.867761  0.00496358
     1.39791       0.820132    0.819851  0.00240003
     1.42355       0.783916    0.773387  0.00329064
      1.4492        0.73947    0.736444  0.00190633
     1.47485       0.715542     0.71125  0.00266157
      1.5005       0.691017    0.689837  0.00313328
     1.52615       0.679687    0.680693  0.00148021
      1.5518         0.6774    0.674306  0.00174888
     1.57745       0.676157     0.67199   0.0032109
      1.6031       0.679508    0.677932  0.00204013
     1.62875       0.682233    0.691258   0.0029494
      1.6544       0.704391    0.707356  0.00201515
     1.68005       0.729393    0.726021   0.0020393
      1.7057        0.75515    0.754669   0.0005999
     1.73135       0.781899    0.785172  0.00137242
       1.757        0.81921    0.818916 0.000467686
     1.78265       0.861839    0.854865  0.00275803
      1.8083       0.900079    0.895541  0.00191126
     1.83395       0.948328    0.944439  0.00223107
      1.8596       0.982313    0.979907  0.00284892
     1.88525        1.01719     1.02114  0.00555663
      1.9109        1.05767     1.05779  0.00428076
     1.93655        1.09014     1.09306  0.00317795
      1.9622        1.12181     1.12948  0.00415161
     1.98785        1.15736     1.15665  0.00102665
      2.0135        1.16954     1.18093  0.00383442
     2.03915        1.18955     1.19851  0.00319516
      2.0648        1.20137     1.20916  0.00353919
     2.09045        1.20923     1.21494  0.00246519
      2.1161        1.20259     1.20653  0.00199752
     2.14174        1.18281     1.18874  0.00240417
     2.16739        1.16621     1.17101  0.00226324
     2.19304        1.14366     1.14568  0.00138498
     2.21869        1.12382       1.121  0.00253492
     2.24434        1.08728     1.09243  0.00286077
     2.26999        1.07137     1.06637  0.00418653
     2.29564        1.04059     1.03462  0.00245767
     2.32129        1.01224     1.01134  0.00178191
     2.34694       0.987432    0.986648  0.00293975
     2.37259       0.976123    0.966893    0.004324
     2.39824       0.955155     0.94919   0.0025729
