#     GEN:            L2:          <L2>:
       679        61.2457        62.0458
       680        61.2457        61.5656
       681        61.2457        61.8494
       682        61.2457        61.6223
       683        61.2457        61.5415
       684        61.2457        61.4647
       685        61.2457        61.5947
       686        61.2457        61.8025
       687        61.2457        61.7459
       688        61.2457        61.4973
       689        61.2457        61.9152
       690        61.2457        61.4973
       691        61.2457        61.6649
       692        61.2457        61.7439
       693        61.2457        61.6121
       694        61.2457        61.7412
       695        61.2457        61.9131
       696        61.2457        61.8366
       697        61.2457        61.7293
       698        61.2457        61.5152
       699        61.2457        61.6494
       700        61.2457        61.4711
       701        61.2457        61.5349
       702        61.2457        61.8911
       703        61.2457         61.717
       704        61.2457        61.8514
       705        61.2457        61.5671
       706        61.2457        61.5019
       707        61.2457        61.9251
       708        61.2457        61.7415
       709        61.2457        61.7471
       710        61.2457        61.6007
       711        61.2457        61.3896
       712        61.2457        61.7261
       713        61.2457        61.5828
       714        61.2457        61.7284
       715        61.2457        61.6346
       716        61.2457        61.8488
       717        61.2457         61.834
       718        61.2457        61.9342
       719        61.2457        61.7806
       720        61.2457         61.917
       721        61.2457         61.557
       722        61.2457        61.9593
       723        61.2457        62.0914
       724        61.2457        61.9172
       725        61.2457        61.7619
       726        61.2457        61.7312
       727        61.2457        61.8165
       728        61.2457        61.6424
       729        61.2457        61.6582
       730        61.2457        61.9965
       731        61.2457        62.1596
       732        61.2457        61.6177
       733        61.2457        61.7593
       734        61.2457        61.7793
       735        61.2457        61.3702
       736        61.2457        61.4088
       737        61.2457        61.5091
       738        61.2457        61.5045
       739        61.2457        61.3838
       740        61.2457        61.4756
       741        61.2457        61.8644
       742        61.2457        61.8401
       743        61.2457        61.6041
       744        61.2457        61.4945
       745        61.2457          61.51
       746        61.2457        61.3787
       747        61.2457        61.4218
       748        61.2457        61.4295
       749        61.2457        61.3049
       750        61.2457        61.5785
       751        61.2457        61.6858
       752        61.2457        61.7973
       753        61.2457        62.0781
       754        61.2457        61.7378
       755        61.2457        61.5763
       756        61.2457        61.4979
       757        61.2457        61.5386
       758        61.2457        61.6813
       759        61.2457        61.5673
       760        61.2457        61.5873
       761        61.2457        61.6388
       762        61.2457        61.5868
       763        61.2457        61.5645
       764        61.2457        61.5089
       765        61.2457        61.6035
       766        61.2457        61.4616
       767        61.2457        61.6395
       768        61.2457        61.4492
       769        61.2457        61.4689
       770        61.2457         61.469
       771        61.2457        61.5733
       772        61.2457        61.6202
       773        61.2457        61.7331
       774        61.2457        61.9218
       775        61.2457        62.1598
       776        61.2457        61.6365
       777        61.2457        61.7591
       778        61.2457        62.4032
       779        61.2457        61.7319
       780        61.2457        61.7173
       781        61.2457        61.6387
       782        61.2457        61.9119
       783        61.2457        61.6425
       784        61.2457        61.5649
       785        61.2457        61.5027
       786        61.2457        61.4932
       787        61.2457        61.5624
       788        61.2457        61.8427
       789        61.2457        61.9738
       790        61.2457          61.88
       791        61.2457        61.9426
       792        61.2457        61.5711
       793        61.2457        61.6817
       794        61.2457        61.6659
       795        61.2457        61.5841
       796        61.2457        61.5244
       797        61.2457        61.8894
       798        61.2457        61.4928
       799        61.2457        61.9377
       800        61.2457         62.047
       801        61.2457        61.8166
       802        61.2457        61.5653
       803        61.2457        61.5513
       804        61.2457        61.6425
       805        61.2457        61.5868
       806        61.2457        61.3132
       807        61.2457        61.4019
       808        61.2457        61.3711
       809        61.2457        61.4821
       810        61.2457        61.5357
       811        61.2457        61.7599
       812        61.2457        61.7382
       813        61.2457        61.9732
       814        61.2457        61.8771
       815        61.2457        61.7443
       816        61.2457        61.5493
       817        61.2457        61.4825
       818        61.2457        61.2946
       819        61.2457        61.4405
       820        61.2457        61.8958
