#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913      0.0018341  0.00155899 0.000312112
    0.910562      0.0285819   0.0272539  0.00110228
    0.936212       0.177545    0.173298  0.00219377
    0.961861       0.598762    0.581711  0.00576956
    0.987511        1.22431     1.21719   0.0117557
     1.01316        1.87124     1.87094   0.0120097
     1.03881        2.25113     2.30786   0.0194638
     1.06446        2.51437     2.57248   0.0128916
     1.09011        2.49737     2.54786   0.0195377
     1.11576        2.41364     2.40769   0.0158493
     1.14141        2.21273     2.19162   0.0108612
     1.16706        1.95167     1.92897   0.0149327
     1.19271        1.71529     1.71063   0.0143965
     1.21836        1.59652     1.55605   0.0166481
     1.24401         1.4347      1.3944   0.0132017
     1.26966         1.2637     1.24456  0.00909092
     1.29531        1.14408     1.13012   0.0125349
     1.32096        1.02252     1.03323  0.00866723
     1.34661       0.957666    0.949897  0.00613556
     1.37226       0.907442    0.885158  0.00917563
     1.39791       0.839536    0.817972  0.00622664
     1.42355       0.762583    0.784297  0.00443671
      1.4492       0.743317    0.748899  0.00878532
     1.47485       0.768218     0.72592   0.0087954
      1.5005         0.7136    0.698292  0.00609641
     1.52615       0.710443    0.698043  0.00533947
      1.5518       0.684527    0.676905  0.00506383
     1.57745       0.678177    0.672138  0.00658445
      1.6031       0.654456    0.672664   0.0059485
     1.62875       0.651087    0.676965  0.00869485
      1.6544       0.688163    0.694972  0.00898564
     1.68005       0.703949    0.721155   0.0129703
      1.7057       0.719988    0.745447  0.00626758
     1.73135       0.757294    0.774129  0.00951029
       1.757       0.811394    0.798387  0.00415069
     1.78265       0.830551    0.841529  0.00647101
      1.8083        0.88139    0.882819  0.00637594
     1.83395       0.914175    0.931274  0.00702839
      1.8596       0.967195    0.976992  0.00567116
     1.88525        1.04024      1.0234  0.00806534
      1.9109        1.04855     1.06018  0.00712487
     1.93655        1.04222      1.0936  0.00992791
      1.9622        1.09793     1.12403  0.00621582
     1.98785        1.16564     1.15684  0.00627966
      2.0135         1.2135     1.19015  0.00510836
     2.03915        1.21216     1.21285   0.0107006
      2.0648        1.20682     1.22241  0.00737925
     2.09045        1.20933     1.22309  0.00665207
      2.1161        1.20179     1.21131  0.00910954
     2.14174         1.2195     1.21195  0.00804051
     2.16739        1.17905     1.19364  0.00903097
     2.19304        1.15029     1.14713  0.00625107
     2.21869        1.14155     1.13235  0.00327307
     2.24434         1.1256      1.1037  0.00764685
     2.26999        1.07498     1.06976  0.00414669
     2.29564        1.06184     1.04314  0.00450962
     2.32129        1.02903      1.0039  0.00668904
     2.34694       0.984478    0.971229  0.00845435
     2.37259       0.993123     0.95197   0.0101197
     2.39824       0.965244    0.935207  0.00804536
     2.42389       0.956707    0.918052   0.0079514
     2.44954       0.895041     0.89855  0.00288579
     2.47519       0.898807    0.901995  0.00412354
     2.50084       0.899876    0.897478  0.00342509
     2.52649       0.903558    0.894279  0.00501114
     2.55214       0.898024    0.897671  0.00369587


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913    0.000320968  0.00138213 0.000313657
    0.910562       0.023212   0.0266764  0.00108556
    0.936212       0.162183     0.17171  0.00238685
    0.961861       0.560767    0.578719  0.00566832
    0.987511        1.22906     1.21889   0.0101979
     1.01316         1.8549     1.86865   0.0105103
     1.03881        2.28973     2.30527   0.0168547
     1.06446        2.54096     2.56798   0.0118102
     1.09011        2.61512     2.55746    0.018963
     1.11576         2.4229     2.40986   0.0137332
     1.14141         2.1513     2.18586   0.0107292
     1.16706        1.96875     1.93466   0.0138384
     1.19271        1.76138     1.71788   0.0140471
     1.21836        1.53856     1.55355    0.014456
     1.24401        1.37275      1.3913   0.0116723
     1.26966        1.18618     1.23622     0.01097
     1.29531        1.06642     1.12102   0.0136535
     1.32096        1.03384     1.03332  0.00742949
     1.34661       0.967032    0.952345  0.00572657
     1.37226        0.87821    0.884165  0.00791832
     1.39791        0.85113    0.822709  0.00690774
     1.42355       0.811965     0.78825  0.00527759
      1.4492       0.699531    0.741846  0.00996687
     1.47485       0.713726    0.724178  0.00770948
      1.5005       0.704621    0.699197  0.00529211
     1.52615       0.696784    0.697863  0.00457972
      1.5518        0.68159    0.677575  0.00438443
     1.57745       0.656142    0.669853  0.00602731
      1.6031       0.683196    0.674168  0.00528559
     1.62875        0.69145    0.679035  0.00769504
      1.6544       0.704523    0.696336  0.00780487
     1.68005       0.750371    0.725329   0.0117698
      1.7057       0.773033    0.749388  0.00649404
     1.73135       0.802982    0.778251  0.00900071
       1.757       0.824526    0.802121  0.00496072
     1.78265       0.846935    0.842301  0.00559248
      1.8083       0.887594    0.883501  0.00550146
     1.83395       0.966402    0.936293  0.00760777
      1.8596        1.00436    0.980901   0.0060605
     1.88525        1.01655     1.02242  0.00697229
      1.9109        1.07679     1.06255  0.00649017
     1.93655        1.11882      1.0972  0.00914019
      1.9622        1.11408     1.12261   0.0054882
     1.98785         1.1311     1.15316  0.00636853
      2.0135        1.16283     1.18624  0.00567683
     2.03915         1.1899     1.20957   0.0096611
      2.0648        1.21183      1.2209  0.00647809
     2.09045        1.18888      1.2182  0.00727868
      2.1161        1.23928      1.2153  0.00864033
     2.14174        1.19561     1.20961  0.00722255
     2.16739        1.15066      1.1875   0.0096045
     2.19304        1.12715     1.14427   0.0059743
     2.21869        1.09725     1.12733  0.00542364
     2.24434        1.06969     1.09884  0.00794965
     2.26999        1.04136      1.0657  0.00517074
     2.29564        1.02733     1.04088   0.0043943
